|VIP等级=0|0|0|0|0|0|0|0|0|0|0
|VIP等级=1|3|1|1|0|0|0|0|0|0|0
|VIP等级=2|4|1|1|0|0|0|0|0|0|0
|VIP等级=3|5|2|2|0|0|0|0|0|0|0
|VIP等级=4|6|3|2|1|0|0|0|0|0|0
|VIP等级=5|15|10|6|3|2|0|0|0|0|0
|VIP等级=6|30|20|10|6|2|2|2|1|0|0
|VIP等级=7|65|25|14|6|2|2|2|2|1|0
|VIP等级=8|80|35|20|10|4|4|4|3|2|1
|VIP等级=9|105|40|22|10|4|3|3|4|3|2
|VIP等级=10|128|50|24|12|5|4|4|5|4|3
|VIP等级=11|140|55|28|12|6|5|5|6|5|4
|VIP等级=12|160|60|32|15|7|6|6|7|6|5
|VIP等级=13|180|70|36|15|8|8|8|8|7|6
|VIP等级=14|250|80|40|20|9|9|9|9|8|7
|VIP等级=15|290|90|48|20|10|10|10|10|9|8
|VIP等级=16|350|100|56|25|11|11|11|11|10|9
|VIP等级=17|370|120|64|25|12|12|12|12|11|10
|VIP等级=18|450|140|74|30|13|13|13|13|12|11
|VIP等级=19|550|160|84|30|14|14|14|14|13|12
|VIP等级=20|600|180|100|35|15|15|15|15|14|13
|VIP等级=21|700|200|116|35|16|16|16|16|15|14
|VIP等级=22|800|240|136|40|17|17|17|17|16|15
|VIP等级=23|900|280|156|40|20|20|20|18|17|16
|VIP等级=24|1000|320|180|50|30|30|30|19|18|17
|VIP等级=25|2000|400|200|50|50|50|50|20|19|18
|VIP等级=26|2000|400|200|50|50|50|50|20|19|18
