5阶BOSS&10|2|0|0|0|0|0|0|0|0|0|0|0|0
6阶BOSS&5|10|2|0|0|0|0|0|0|0|0|0|0|0
7阶BOSS&0|5|10|2|0|0|0|0|0|0|0|0|0|0
8阶BOSS&0|5|10|2|0|0|0|0|0|0|0|0|0|0
9阶BOSS&0|0|0|5|10|2|0|0|0|0|0|0|0|0
10阶BOSS&0|0|0|0|5|10|2|1|0|0|0|0|0|0
11阶BOSS&0|0|0|0|0|5|10|2|1|0|0|0|0|0
12阶BOSS&0|0|0|0|0|0|5|10|2|1|0|0|0|0
13阶BOSS&0|0|0|0|0|0|0|5|10|2|1|0|0|0
14阶BOSS&0|0|0|0|0|0|0|0|5|10|2|1|0|0
15阶BOSS&0|0|0|0|0|0|0|0|0|5|10|2|1|0
16阶BOSS&0|0|0|0|0|0|0|0|0|0|5|10|2|1
17阶BOSS&0|0|0|0|0|0|0|0|0|0|0|5|10|2
18阶BOSS&0|0|0|0|0|0|0|0|0|0|0|0|5|10
