5000|0
10000|0
15000|0
20000|0
25000|0
30000|0
35000|0
40000|0
45000|0
50000|0
100000|50
120000|100
140000|150
160000|200
180000|250
200000|300
220000|350
240000|400
260000|450
280000|500
300000|550
320000|600
340000|650
360000|700
380000|750
400000|800
420000|850
440000|900
460000|950
480000|1000
500000|1050
520000|1100
540000|1150
560000|1200
580000|1250
600000|1300
620000|1350
640000|1400
660000|1450
680000|1500
700000|1550
720000|1600
740000|1650
760000|1700
780000|1750
800000|1800
820000|1850
840000|1900
860000|1950
880000|2000
900000|2050
920000|2100
940000|2150
960000|2200
980000|2250
1000000|2300
1020000|2350
1040000|2400
1060000|2450
1080000|2500
1100000|2550
1120000|2600
1140000|2650
1160000|2700
1180000|2750
1200000|2800
1220000|2850
1240000|2900
1260000|2950
1280000|3000
1300000|3050
1320000|3100
1340000|3150
1360000|3200
1380000|3250
1400000|3300
1420000|3350
1440000|3400
1460000|3450
1480000|3500
1500000|3550
1520000|3600
1540000|3650
1560000|3700
1580000|3750
1600000|3800
1620000|3850
1640000|3900
1660000|3950
1680000|4000
1700000|4050
1720000|4100
1740000|4150
1760000|4200
1780000|4250
1800000|4300
1820000|4350
1840000|4400
1860000|4450
1880000|4500
1900000|4550
1920000|4600
1940000|4650
1960000|4700
1980000|4750
2000000|4800
2020000|4850
2040000|4900
2060000|4950
2080000|5000
2100000|5050
2120000|5100
2140000|5150
2160000|5200
2180000|5250
2200000|5300
2220000|5350
2240000|5400
2260000|5450
2280000|5500
2300000|5550
