0|0|0|0|0|0
1|1|1|1|10|10
2|2|1|1|10|20
2|2|2|2|10|20
2|2|2|2|20|20
3|4|2|2|20|50
3|4|3|3|20|80
3|4|3|3|30|120
4|6|3|3|30|120
4|6|4|5|30|150
4|6|4|5|40|150
5|8|4|5|40|180
5|8|5|7|40|180
5|8|5|7|50|220
6|10|5|7|50|220
6|10|6|9|50|280
6|10|6|9|60|280
7|12|6|9|60|320
7|12|7|11|60|320
7|12|7|11|70|360
9|15|7|11|70|360
9|15|9|13|70|400
9|15|9|13|85|400
11|18|9|13|85|400
11|18|11|15|85|440
11|18|11|15|100|440
13|21|11|15|100|440
13|21|13|17|100|480
13|21|13|17|115|480
15|24|13|17|115|480
20|29|13|17|115|640
20|29|16|21|115|640
20|29|16|21|130|640
25|34|16|21|130|720
25|34|18|25|130|720
25|34|18|25|145|720
30|39|18|25|145|800
30|39|21|29|145|800
30|39|21|29|160|850
35|44|21|29|160|850
35|44|27|36|160|920
35|44|27|36|185|920
40|49|27|36|185|970
40|49|33|43|185|970
40|49|33|43|210|1030
45|54|33|43|210|1030
45|54|39|50|210|1120
45|54|39|50|235|1120
50|59|39|50|235|1190
50|59|45|57|235|1190
50|59|45|57|260|1250
60|69|45|57|260|1250
60|69|51|65|260|1330
60|69|51|65|285|1330
70|79|51|65|285|1450
70|79|57|73|285|1450
70|79|57|73|310|1560
80|89|57|73|310|1560
80|89|63|81|310|1680
80|89|63|81|335|1680
90|99|63|81|335|1770
90|99|69|89|335|1770
90|99|69|89|360|1820
102|111|69|89|360|1820
102|111|76|99|360|1960
102|111|76|99|395|1960
114|123|76|99|395|2180
114|123|83|109|395|2180
114|123|83|109|430|2250
126|135|90|119|465|2250
138|147|97|129|490|2250
138|147|97|129|490|22500
