0|0|0|无|0|0|0
5|5|33|原始太明襄魔者|1|2|100
6|10|36|两仪太明襄魔魂|2|2|200
7|15|39|三才太明襄魔魄|3|2|200
8|20|42|四象太明襄魔王|4|2|300
9|25|45|五行太明襄魔皇|5|2|300
10|30|48|六合太明襄魔帝|6|2|400
11|35|51|七星太明襄魔仙|7|2|500
12|40|54|八卦太明襄魔神|8|2|600
13|45|57|九宫太明襄魔圣|9|2|800
14|50|60|十方太明襄魔尊|10|2|1000
16|60|125|原始元明睿魔者|11|1|1100
18|70|132|两仪元明睿魔魂|12|1|1100
20|80|139|三才元明睿魔魄|13|1|1600
22|90|146|四象元明睿魔王|14|1|1600
24|100|153|五行元明睿魔皇|15|1|2400
26|110|160|六合元明睿魔帝|16|1|2400
28|120|167|七星元明睿魔仙|17|1|3200
30|130|174|八卦元明睿魔神|18|1|3200
32|140|181|九宫元明睿魔圣|19|1|4000
34|150|188|十方元明睿魔尊|20|1|4000
37|165|286|原始太蒙景魔者|21|1|4800
40|180|296|两仪太蒙景魔魂|22|1|5300
43|195|306|三才太蒙景魔魄|23|1|5300
46|210|316|四象太蒙景魔王|24|1|5600
49|225|326|五行太蒙景魔皇|25|1|5600
52|240|336|六合太蒙景魔帝|26|1|6100
55|255|346|七星太蒙景魔仙|27|1|6100
58|270|356|八卦太蒙景魔神|28|1|6100
61|285|366|九宫太蒙景魔圣|29|1|6400
64|300|376|十方太蒙景魔尊|30|1|6400
67|330|571|原始耀明怀魔者|31|2|7200
70|360|591|两仪耀明怀魔魂|32|2|7200
73|390|611|三才耀明怀魔魄|33|2|8100
76|420|631|四象耀明怀魔王|34|2|8100
79|450|651|五行耀明怀魔皇|35|2|8100
82|480|671|六合耀明怀魔帝|36|2|8800
85|510|691|七星耀明怀魔仙|37|2|8800
88|540|711|八卦耀明怀魔神|38|2|8800
91|570|731|九宫耀明怀魔圣|39|2|9000
94|600|751|十方耀明怀魔尊|40|2|9000
99|645|1076|原始玄明襄灵魔者|41|3|9200
104|690|1109|两仪玄明襄灵魔魂|42|3|9200
109|735|1142|三才玄明襄灵魔魄|43|3|9400
114|780|1175|四象玄明襄灵魔王|44|3|9400
119|825|1208|五行玄明襄灵魔皇|45|3|9500
124|870|1241|六合玄明襄灵魔帝|46|3|9500
129|915|1274|七星玄明襄灵魔仙|47|3|9900
134|960|1307|八卦玄明襄灵魔神|48|3|9900
139|1005|1340|九宫玄明襄灵魔圣|49|3|10300
144|1050|1373|十方玄明襄灵魔尊|50|3|10300
154|1095|2023|原始太安睿灵魔者|51|2|12000
164|1140|2088|两仪太安睿灵魔魂|52|2|12000
174|1185|2153|三才太安睿灵魔魄|53|2|12000
184|1230|2218|四象太安睿灵魔王|54|2|12000
194|1275|2283|五行太安睿灵魔皇|55|2|12200
204|1320|2348|六合太安睿灵魔帝|56|2|12200
214|1365|2413|七星太安睿灵魔仙|57|2|12200
224|1410|2478|八卦太安睿灵魔神|58|2|12600
234|1455|2543|九宫太安睿灵魔圣|59|2|12600
244|1500|2608|十方太安睿灵魔尊|60|2|12600
259|1545|3583|原始太黄景灵魔者|61|3|13000
274|1590|3681|两仪太黄景灵魔魂|62|3|13000
289|1635|3779|三才太黄景灵魔魄|63|3|13000
304|1680|3877|四象太黄景灵魔王|64|3|13400
319|1725|3975|五行太黄景灵魔皇|65|3|13400
334|1770|4073|六合太黄景灵魔帝|66|3|13800
349|1815|4171|七星太黄景灵魔仙|67|3|13800
364|1860|4269|八卦太黄景灵魔神|68|3|14400
379|1905|4367|九宫太黄景灵魔圣|69|3|14400
394|1950|4465|十方太黄景灵魔尊|70|3|14600
414|1995|5765|原始无极怀灵魔者|71|3|17500
434|2040|5895|两仪无极怀灵魔魂|72|3|18000
454|2085|6025|三才无极怀灵魔魄|73|3|18000
474|2130|6155|四象无极怀灵魔王|74|3|18000
494|2175|6285|五行无极怀灵魔皇|75|3|18000
514|2220|6415|六合无极怀灵魔帝|76|3|19200
534|2265|6545|七星无极怀灵魔仙|77|3|19200
554|2310|6675|八卦无极怀灵魔神|78|3|19200
574|2355|6805|九宫无极怀灵魔圣|79|3|19200
594|2400|6935|十方无极怀灵魔尊|80|3|19200
619|2445|8885|原始玉隆驰灵魔者|81|3|19900
644|2490|9080|两仪玉隆驰灵魔魂|82|3|19900
669|2535|9275|三才玉隆驰灵魔魄|83|3|19900
694|2580|9470|四象玉隆驰灵魔王|84|3|20400
719|2625|9665|五行玉隆驰灵魔皇|85|3|20400
744|2670|9860|六合玉隆驰灵魔帝|86|3|20900
769|2715|10055|七星玉隆驰灵魔仙|87|3|20900
794|2760|10250|八卦玉隆驰灵魔神|88|3|21400
819|2805|10445|九宫玉隆驰灵魔圣|89|3|21400
844|2850|10640|十方玉隆驰灵魔尊|90|3|21600
884|2895|10835|原始上清归灵魔者|91|3|21600
924|2940|11030|两仪上清归灵魔魂|92|3|21600
964|2985|11225|三才上清归灵魔魄|93|3|22100
1004|3030|11420|四象上清归灵魔王|94|3|22100
1044|3075|11615|五行上清归灵魔皇|95|3|22800
1084|3120|11810|六合上清归灵魔帝|96|3|22800
1124|3165|12005|七星上清归灵魔仙|97|3|23500
1164|3210|12200|八卦上清归灵魔神|98|3|23500
1204|3255|12395|九宫上清归灵魔圣|99|3|24000
1244|3300|15645|十方上清归灵魔尊|100|3|24000
